CompanyName,Ldcp,Open,High,Low,Current,Change,Volume
TPL Life Insurance,48.72,48.0,52.9,48.0,52.9,2.34,748
United InsuranceXB,17.32,17.48,17.48,17.11,17.3,-0.18,"27,928"
Universal Ins.,9.18,9.0,9.0,8.8,8.8,,95
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
786 Invest Ltd,7.66,8.49,8.49,7.74,7.74,,110
AKD Securites,19.85,19.98,19.98,19.01,19.7,-0.02,"109,413"
Apna Microfin.,9.33,9.33,9.33,8.33,8.79,-0.54,"12,348"
Arif Habib Limited.,76.15,77.85,77.85,73.5,73.5,-1.48,"62,480"
Calcorp Limited,45.01,46.0,48.98,46.0,48.98,0.99,"1,101"
Cyan LimitedXD,29.03,29.83,29.85,28.86,29.67,0.62,"17,951"
Dawood Equities,9.04,9.01,9.14,8.7,9.0,-0.04,"67,928"
Dawood Law,227.90,245.0,245.0,227.59,237.98,10.09,707
DH Partners Ltd.XD,35.32,35.2,38.85,34.99,37.5,2.81,"820,578"
Engro Holdings,176.58,177.7,185.4,177.25,183.53,6.95,"6,628,763"
Escorts Bank,6.45,6.18,6.18,6.18,6.18,,100
F. Nat.Equities,3.04,3.04,3.2,3.03,3.06,0.01,"215,987"
F.Credit & Inv,7.60,7.98,7.98,7.98,7.98,,"1,010"
First Cap.Equit,3.98,3.84,3.84,3.84,3.84,,200
First Dawood Prop,2.13,2.25,2.25,2.11,2.21,0.08,"43,785"
Imperial Limite,15.86,17.3,17.37,15.21,16.99,0.61,"3,218"
Intermarket Sec.XD,56.11,55.51,55.99,50.5,51.31,-4.73,"91,218"
Invest Bank,1.40,1.43,1.45,1.34,1.36,-0.03,"503,983"
Ist.Capital Sec,1.40,1.38,1.44,1.38,1.42,,"282,863"
Jah.Sidd. Co.,16.63,16.9,17.08,16.7,16.89,0.21,"185,907"
JS Global Cap.,101.75,102.0,105.0,102.0,104.9,3.22,"4,116"
JS Investments,22.10,21.6,22.49,21.6,21.6,-0.2,"1,705"
LSE Capital Ltd.,5.00,5.19,5.5,5.11,5.31,0.31,"183,487"
LSE Fin. Services,26.61,26.99,29.27,26.99,29.27,2.59,"11,450"
LSE Ventures Ltd,9.52,9.03,10.52,9.03,10.52,1.0,"620,856"
MCB Inv MGT,93.76,91.0,103.14,91.0,103.14,9.38,"7,727"
Next Capital,8.00,7.9,7.9,7.32,7.88,-0.23,"1,311"
OLP FinancialXD,37.75,38.28,38.28,38.0,38.0,0.25,"22,715"
Pak Stock Exchange,26.80,26.81,27.4,26.67,26.98,0.19,"1,204,781"
Pervez Ahmed Co,1.08,1.1,1.1,1.06,1.08,-0.01,"128,522"
PIA Holding Company,16.79,16.79,16.79,16.42,16.5,-0.28,"2,609,747"
PIA Holding CompanyB,"12,457.67",13703.44,13703.44,13703.44,13703.44,1245.77,4
Sec. Inv. Bank,9.00,8.51,9.25,8.07,8.07,-0.74,"3,145"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Crescent Jute,3.22,3.27,3.27,3.1,3.1,-0.11,"141,430"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Gulf Leasing,20.12,22.0,22.0,20.0,21.25,0.92,776
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bata (Pak) Ltd.,"1,550.00",1535.0,1550.0,1470.0,1539.99,-14.32,"2,323"
Leather Up Ltd.,28.30,27.02,30.69,27.01,29.99,0.27,"4,052"
Pak Leather,29.56,28.96,28.96,28.96,28.96,,219
Service Global,78.08,79.0,80.94,77.0,77.0,-0.65,"3,715"
Service Ind.Ltd,"1,089.29",1112.0,1112.0,1065.0,1100.0,10.71,"4,426"
